Teststellen	Arabic Family B	Potential Agreement Readings
124	يتكلمون فى الطريق	1/2,1/2B,1/2C,1/2D,1/2E,1/2F,1/2G,1/2H,1/2I,1/2J,1/2K,1/2L,1/2M,1/2N,5,5B
125	فقال لهم من اراد [CSA adds منكم] ان يكون اول فاليكون اخر كل وخادم لكل	1/2,1/2C,1/2D,1/2E,1/2F,1/2G,1/2H,1/2I,1/2J,1/2L,1/2M,1/2N,1/2O,1/2P,1/2R,1/2S,1/2T,1/2U,1/2V,1/2W,8,9,9B,9C,10,12
126	الشيطان فمنعناه حيث لا يلحقنا	2,2B,2C,2D,2E
127	-	-
128	الى جهنم	2,2B
129	ان كل شى بالنار يملح وكل ذبيحه بالملح تملح	1,1B,1C,1D,1I,1J,1L,1M,1N
130	[يهوذيا] عبر الاردن	3
131	فاتوا اليه الاحبار	1/2,1/2B,1/2C,1/2D,1/2E,1/2G,4,6
132	وان خرجت المره من زوجها فتزوجت اخر فانها فاسقه	3,3B,3C,3D
133	-	-
134	لا تقتل ولا تفسق ولا تسرق	2
135	[لا تشهد شهاده زور اكرم اباك وامك]	3
136	[اباك] وامك	1/2,3
137	المساكين	1,2
138	وهلم الحقنى	2
139	الذين يتوكلون على الاموال	1,1B,1C,1D,1E,1F,1G,1H,1I,1J,1K,3
140	فى انفسهم	1/2,1/2B,1/2C
141	[او اب] او بنين	2,2B
142	ولليوم الثالث	1,1B,2
143	بنى	1/2,3
144	ماذا تسلون ان اصنع	1,1B,1C,1D,2,2B,2C,3,3B,4,4B,6,7
145	[ولا] يكون	1,1B,2,3,4
146	فاليكون	1/2,3
147	جالس على حد الطريق يسل	1,1B,1C,1D,1E,1F,1G,3,4
148	الناصرى	1,1B,1C,2,3,3B,3C,4,5
149	كانوا يقطعون [غصان] الشجر ويفرشوه على الطريق	1,1B,1C,1D,1E,1F,1G,1H,1I,1J,1K,1L,1M,1N,1O,4,8
150	ولكن يومن انه يكون الذى يقول فانه يكون الذى قال	1,1B,1C,1D,1E,1F,1G,1H,1I,1J,1K,1L,1M,1N,1O,1P,1Q,1R,1S,1T,1U,1V,1W,1X,1Y,1Z,1ZA,1ZB,1ZC,1ZD,1ZE,1ZG,1ZH,1ZI,1ZJ,1ZK,1ZL,1ZM,4
151	تاخذون	1,1B,1C,1D,2,3,3B,3C
152	الشعب	1
153	نبى حقاني	1,1B,1D,1E,2,3,5
154	-	-
155	ثم [انهم جاوا]	1,2
156	-	-
157	نعطى الخراج لقيصر	1,1B,1C,1D,1E,2,3,4,5,6,7,8
158	ولا هو ترك زرع	1,1B,1C,1D,1E,3,4
159	ففى القيامه	3,4,5
160	الملايكه [فى السما]	1,1B,2,3,4
161	كثير طغيتم	2,2B
162	[ومن] كل قوتك [ومن كل نيتك]	2,2B
163	تجاه	1/2,1/2B,1/2C,1/2D,3,4
164	طرحت	1,1B,2,2B
165	يترك هاهنا	2,3
166	سوف ينقض	3
167	وجوع وسجس	1,1B,1C,1D,1E,1F
168	[لا] ينزل [ولا يدخل]	2
169	اذا [ترطبت] شجونها	1,1B,1C,1D,1E,2,2B,3,4,5,6,9,10
170	اسهروا وصلوا	1,1B,1C,1D,1E,1F,1G,1H,1I,3,3B,5
171	انا هو والاخر لعلى انا	1,1B,1C,9,10
172	فى الاسكرجه	1/2,1/2B,1/2C,1/2D,1/2E,1/2F,4,4B
173	دم العهد الجديد	1,1B,1C,1D
174	لا اشرب	1/2,1/2B,1/2C,1/2D,3,3B,4
175	فرجع فوجدهم	4,4B
176	وكان فتا واحد	1,1B,1C,4,5,7
177	وهرب منهم عريان	1,1B,1C,1D,1F,4,5
178	كانوا ياخذوه	3,3B
179	الدار	3,5
180	[فصاح الديك]	1,3
181	فلما ان كان بكره	1,1B,1C,2,3,3B,4,6
182	اصنع بالذى تقولون بانه	1/2,1/2C,1/2G,1/2I,3
183	ثيابه	1,1B,1C,1D,2,4,5,6,6B,7,8
184	فتم الكتاب الذى قال مع المنافقين حسبت	1B,1C
185	صلبا معه	1,1B,1C,1D,2,2B,3,3B,4,4B,5,5B,6
186	[فنظر صاحب الحربه الذى كان قايم هنالك مقابله فقال]	9
187	[اولايك الذين لحقنه من الجليل]	1,2,3,4
188	[وان بلاطس عجب كيف انه مات بسرعه]	U1
189	وجعله	1,1B,1C,1D,2,3,3B,3C
190	[ΜΚ 16,1 - 20]	1
191	قد قام من الموتا	3,3B
192	[No Freer-Logion]	1
193	[العجايب] تلحق اولايك	1,1B,1C,1D,1E,1F,1G,1H,1I,1J,1K,1L,3,4,7
194	والحيات [يمسكون]	1
195	الرب يسوع	3,4
